txNum,latency,startTime,readCount,writeCount,queryType,concurrentlyExecutingTxNum
165,36,769721,3,4,4,8,
166,141,769721,33,33,3,4,
167,102,769721,29,29,3,4,
168,88,769721,21,21,3,6,
169,56,769721,3,4,4,8,
170,50,769721,3,4,4,8,
171,36,769721,19,19,3,5,
172,1,769721,3,4,4,7,
173,36,769721,31,31,3,5,
174,33,769721,3,4,4,5,
175,1,769722,3,4,4,0,
176,1,769722,3,4,4,0,
177,1,769722,3,4,4,0,
178,4,769722,15,15,3,0,
179,3,769722,13,13,3,1,
180,6,769722,3,4,4,1,
181,0,769722,3,4,4,1,
182,3,769722,17,17,3,2,
183,6,769722,13,13,3,1,
184,3,769722,3,4,4,2,
185,98,769722,27,27,3,3,
186,116,769722,33,33,3,1,
187,99,769722,25,25,3,3,
188,95,769722,25,25,3,4,
189,116,769722,31,31,3,2,
190,74,769722,3,4,4,7,
191,74,769722,3,4,4,7,
192,116,769722,3,4,4,3,
193,102,769722,29,29,3,5,
194,97,769722,23,23,3,6,
195,119,769722,27,27,3,3,
196,70,769722,29,29,3,4,
197,111,769722,17,17,3,5,
198,112,769722,29,29,3,5,
199,34,769722,3,4,4,6,
200,136,769722,3,4,4,7,
201,141,769722,3,4,4,7,
202,71,769722,3,4,4,7,
203,97,769722,27,27,3,7,
204,108,769722,17,17,3,9,
205,45,769722,3,4,4,7,
206,7,769722,3,4,4,7,
207,157,769722,31,31,3,8,
208,17,769722,3,4,4,9,
209,194,769722,31,31,3,7,
210,157,769722,21,21,3,7,
211,56,769722,3,4,4,7,
212,198,769722,3,4,4,6,
213,167,769722,3,4,4,8,
214,186,769722,31,31,3,8,
215,146,769722,27,27,3,8,
216,85,769722,13,13,3,8,
217,126,769722,31,31,3,9,
218,145,769722,33,33,3,6,
219,85,769722,19,19,3,5,
220,31,769722,3,4,4,9,
221,17,769722,3,4,4,9,
222,32,769722,3,4,4,7,
223,49,769722,31,31,3,5,
224,46,769722,31,31,3,5,
225,40,769722,3,4,4,4,
226,3,769722,3,4,4,1,
227,4,769722,13,13,3,1,
228,12,769722,31,31,3,1,
229,17,769722,3,4,4,4,
230,20,769722,3,4,4,4,
231,14,769722,3,4,4,5,
232,38,769722,3,4,4,4,
233,87,769722,13,13,3,6,
234,92,769722,21,21,3,4,
235,95,769722,33,33,3,4,
236,50,769722,3,4,4,5,
237,46,769722,27,27,3,6,
238,46,769722,21,21,3,7,
239,11,769722,3,4,4,4,
240,10,769722,3,4,4,5,
241,26,769722,25,25,3,3,
242,8,769722,3,4,4,7,
243,10,769722,3,4,4,6,
244,19,769722,3,4,4,5,
245,25,769722,31,31,3,4,
246,4,769722,3,4,4,3,
247,30,769722,23,23,3,3,
248,111,769722,27,27,3,4,
249,69,769722,29,29,3,3,
250,28,769722,29,29,3,5,
251,25,769722,17,17,3,6,
252,58,769722,3,4,4,5,
253,63,769722,3,4,4,5,
254,136,769722,33,33,3,5,
255,60,769722,21,21,3,7,
256,101,769722,13,13,3,4,
257,39,769722,3,4,4,5,
258,37,769722,3,4,4,6,
259,37,769722,3,4,4,6,
260,53,769722,31,31,3,5,
261,55,769722,3,4,4,3,
262,46,769722,3,4,4,6,
263,46,769722,15,15,3,7,
264,6,769722,3,4,4,2,
265,5,769722,3,4,4,3,
266,5,769722,3,4,4,5,
267,5,769722,3,4,4,5,
268,35,769723,3,4,4,3,
269,41,769723,3,4,4,4,
270,39,769723,3,4,4,4,
271,120,769723,33,33,3,4,
272,56,769723,3,4,4,5,
273,123,769723,29,29,3,4,
274,120,769723,21,21,3,6,
275,72,769723,15,15,3,6,
276,71,769723,3,4,4,8,
277,112,769723,33,33,3,5,
278,69,769723,3,4,4,7,
279,48,769723,3,4,4,5,
280,37,769723,3,4,4,8,
281,28,769723,3,4,4,8,
282,75,769723,29,29,3,8,
283,20,769723,3,4,4,6,
284,15,769723,3,4,4,5,
285,41,769723,25,25,3,3,
286,54,769723,27,28,3,5,
287,30,769723,3,4,4,6,
288,6,769723,3,4,4,7,
289,56,769723,3,4,4,7,
290,27,769723,15,15,3,8,
291,31,769723,13,13,3,8,
292,41,769723,21,21,3,8,
293,28,769723,15,15,3,7,
294,27,769723,15,15,3,8,
295,10,769723,15,15,3,5,
296,169,769723,33,33,3,6,
297,3,769723,3,4,4,5,
298,2,769723,3,4,4,6,
299,16,769723,21,21,3,6,
300,6,769723,3,4,4,7,
301,18,769723,3,4,4,7,
302,185,769723,3,4,4,7,
303,27,769723,25,25,3,7,
304,106,769723,21,21,3,7,
305,2,769723,3,4,4,7,
306,180,769723,17,17,3,7,
307,2,769723,3,4,4,8,
308,194,769723,3,4,4,8,
309,3,769723,3,4,4,8,
310,186,769723,29,29,3,8,
311,125,769723,19,19,3,8,
312,11,769723,3,4,4,8,
313,90,769723,3,4,4,9,
314,75,769723,3,4,4,7,
315,170,769723,17,17,3,7,
316,65,769723,13,13,3,7,
317,70,769723,23,23,3,8,
318,86,769723,29,29,3,8,
319,54,769723,3,4,4,7,
320,32,769723,3,4,4,8,
321,16,769723,3,4,4,8,
322,13,769723,3,4,4,8,
323,12,769723,13,13,3,7,
324,32,769723,31,31,3,6,
325,5,769723,3,4,4,7,
326,17,769723,13,13,3,8,
327,22,769723,23,23,3,7,
328,27,769723,29,29,3,7,
329,36,769723,25,25,3,7,
330,34,769723,29,29,3,8,
331,41,769723,31,31,3,8,
332,21,769723,19,19,3,8,
333,5,769723,3,4,4,8,
334,36,769723,29,29,3,7,
335,34,769723,3,4,4,5,
336,34,769723,25,25,3,4,
337,26,769723,25,25,3,7,
338,14,769723,17,17,3,8,
339,27,769723,25,25,3,7,
340,27,769723,19,19,3,7,
341,6,769723,3,4,4,7,
342,24,769723,25,25,3,5,
343,3,769723,3,4,4,8,
344,18,769723,23,23,3,4,
345,10,769723,3,4,4,8,
346,8,769723,3,4,4,6,
347,28,769723,3,4,4,4,
348,31,769723,3,4,4,3,
349,29,769723,3,4,4,4,
350,41,769723,31,31,3,2,
351,26,769723,3,4,4,5,
352,40,769723,13,13,3,3,
353,25,769723,3,4,4,7,
354,28,769723,3,4,4,5,
355,35,769723,21,21,3,4,
356,32,769723,17,17,3,5,
357,59,769723,27,27,3,3,
358,46,769723,3,4,4,4,
359,54,769723,3,4,4,3,
360,44,769723,3,4,4,5,
361,61,769723,27,27,3,5,
362,59,769723,17,17,3,5,
363,43,769723,3,4,4,6,
364,56,769723,3,4,4,5,
365,60,769723,13,13,3,6,
366,50,769723,3,4,4,6,
367,1,769723,3,4,4,5,
368,1,769723,3,4,4,5,
369,2,769723,3,4,4,3,
370,3,769723,3,4,4,3,
371,1,769723,3,4,4,5,
372,2,769723,3,4,4,4,
373,6,769723,19,19,3,3,
374,1,769723,3,4,4,1,
375,19,769723,21,21,3,2,
376,26,769723,21,21,3,2,
377,0,769723,3,4,4,2,
378,28,769723,21,21,3,1,
379,4,769723,3,4,4,3,
380,4,769723,3,4,4,3,
381,4,769723,3,4,4,3,
382,15,769723,21,21,3,2,
383,26,769723,3,4,4,1,
384,83,769723,17,17,3,2,
385,81,769723,23,23,3,2,
386,45,769723,3,4,4,3,
387,42,769723,17,17,3,3,
388,50,769723,15,15,3,3,
389,45,769723,3,4,4,3,
390,47,769723,29,29,3,2,
391,47,769723,25,25,3,3,
392,43,769723,23,23,3,5,
393,46,769723,29,29,3,4,
394,17,769723,23,23,3,2,
395,36,769723,23,23,3,3,
396,38,769723,31,31,3,2,
397,38,769723,25,25,3,2,
398,8,769723,17,17,3,6,
399,3,769723,3,4,4,7,
400,16,769723,3,4,4,5,
401,7,769723,3,4,4,6,
402,2,769723,3,4,4,8,
403,33,769723,3,4,4,5,
404,1,769723,3,4,4,7,
405,18,769723,3,4,4,3,
406,10,769723,3,4,4,3,
407,15,769723,3,4,4,4,
408,27,769723,13,13,3,5,
409,14,769723,3,4,4,5,
410,71,769723,31,31,3,5,
411,69,769723,33,33,3,6,
412,17,769723,3,4,4,6,
413,12,769723,3,4,4,7,
414,71,769723,29,29,3,6,
415,19,769723,19,19,3,7,
